Id,Prediction
0,8.792138638922232
1,8.601494918065386
2,8.90507543618935
3,9.803959111043714
4,7.7534767731759775
5,8.289804535993673
6,9.270086335802752
7,8.578766554698415
8,7.903296204434506
9,7.30355516204107
10,9.03996330656393
11,8.779177513782148
12,8.757075512091792
13,7.2341655760462515
14,8.432943508944005
15,9.24301238138995
16,6.276364876933021
17,8.648353771593172
18,9.089526096276998
19,8.753837373542808
20,7.347359983559752
21,8.711897864019477
22,7.015582913573598
23,8.421019237086533
24,7.996352421890373
25,7.996043809109606
26,8.35458639101234
27,6.921327614391429
28,7.24381640147665
29,7.130214626641051
30,6.8068399238840875
31,6.871608617443652
32,7.290345770250578
33,6.279675350723201
34,7.87952610126081
35,7.742283084762051
36,8.59609399843193
37,6.144895780438635
38,7.391010441346291
39,6.903578692601271
40,7.7789213715313075
41,6.846120323653571
42,6.615902634072788
43,7.3323718146940315
44,7.3843092788382165
45,6.503245052532302
46,6.408750750942115
47,7.471720653867498
48,6.4837253353578905
49,7.836735047532453
50,6.735632926538664
51,6.737235327905072
52,7.734774240664483
53,6.2909283902600865
54,7.1853431235202425
55,7.842817261368462
56,7.937863439840038
57,6.408568238666201
58,7.641596647601953
59,7.302764762069472
60,6.194578225615319
61,6.653230532889052
62,7.101394136459607
63,6.305246659884072
64,5.406323462810853
65,6.577772638967959
66,5.297359009041761
67,6.761244523086699
68,6.318614370366598
69,5.7822760156089394
70,6.712159294950693
71,5.812477705006464
72,6.541960568665582
